seq us class
2185416491 8037 10
2185416492 8037 10
2185416493 8037 10
2185416494 8037 10
2185416495 8037 10
2185416496 8037 10
2185416497 8037 10
2185416498 8037 10
2185416499 8037 10
2185416500 8037 10
2185416501 8037 10
2185416591 8031 1
2185416623 8037 10
2185416624 8037 10
2185416625 8037 10
2185416626 8037 10
2185416627 8037 10
2185416628 8037 10
2185416629 8037 10
2185416630 8037 10
2185416631 8037 10
2185416632 8037 10
2185416633 8037 10
2185416634 8037 10
2185416635 8037 10
2185416636 8037 10
2185416637 8037 10
2185416638 8037 10
2185416639 8037 10
2185416640 8037 10
2185416641 8037 10
2185416642 8037 10
2185416643 8037 10
2185416644 8037 10
2185416645 8037 10
2185416646 8037 10
2185416647 8037 10
2185416648 8037 10
2185416649 8037 10
2185416653 8037 10
2185416654 8037 10
2185416655 8037 10
2185416659 8037 10
2185416660 8037 10
2185416667 8037 10
2185416668 8037 10
2185416669 8037 10
2185416670 8037 10
2185416671 8037 10
2185416672 8037 10
2185416673 8037 10
2185416674 8037 10
2185416675 8037 10
2185416676 8037 10
2185416677 8037 10
2185416678 8037 10
2185416679 8037 10
2185416680 8037 10
2185416681 8037 10
2185416682 8037 10
2185416683 8037 10
2185416684 8037 10
2185416685 8037 10
2185416686 8037 10
2185416687 8037 10
2185416688 8037 10
2185416691 8037 10
2185416694 8037 10
2185416697 8037 10
2185416698 8037 10
2185416699 8037 10
2185416700 8037 10
2185416701 8037 10
2185416702 8037 10
2185416703 8037 10
2185416704 8037 10
2185416705 8037 10
2185428940 8162 5
2185429003 8162 5
2185429158 8162 5
2185429361 8162 5
2185429394 8162 5
2185431687 8421 2
2185431744 8421 2
2185431756 8421 2
2185431933 8421 2
2185432016 8421 2
2185436903 8036 5
2185436906 8036 5
2185436907 8036 5
2185436909 8036 5
2185436910 8036 5
2185436912 8036 5
2185436914 8036 5
2185436915 8036 5
2185436917 8036 5
2185436920 8036 5
2185436921 8036 5
2185436923 8036 5
2185436924 8036 5
2185436926 8036 5
2185436927 8036 5
2185436929 8036 5
2185436930 8036 5
2185436931 8036 5
2185436933 8036 5
2185436934 8036 5
2185436936 8036 5
2185436937 8036 5
2185436940 8036 5
2185436941 8036 5
2185436942 8036 5
2185436944 8036 5
2185436945 8036 5
2185436946 8036 5
2185436949 8036 5
2185436950 8036 5
2185436952 8036 5
2185436953 8036 5
2185436956 8036 5
2185436957 8036 5
2185436959 8036 5
2185436960 8036 5
2185436961 8036 5
2185436963 8036 5
2185436964 8036 5
2185436967 8036 5
2185436968 8036 5
2185436971 8036 5
2185436972 8036 5
2185436974 8036 5
2185436976 8036 5
2185436977 8036 5
2185436980 8036 5
2185436981 8036 5
2185436983 8036 5
2185436984 8036 5
2185436985 8036 5
2185436988 8036 5
2185436989 8036 5
2185436991 8036 5
2185436992 8036 5
2185436994 8036 5
2185436995 8036 5
2185436996 8036 5
2185436999 8036 5
2185437000 8036 5
2185437003 8036 5
2185437004 8036 5
2185437005 8036 5
2185437008 8036 5
2185437009 8036 5
2185437012 8036 5
2185437014 8036 5
2185437015 8036 5
2185437017 8036 5
2185437018 8036 5
2185437020 8036 5
2185437021 8036 5
2185437023 8036 5
2185437025 8036 5
2185437026 8036 5
2185437029 8036 5
2185437030 8036 5
2185437033 8036 5
2185437034 8036 5
2185437035 8036 5
2185437037 8036 5
2185437038 8036 5
2185437040 8036 5
2185437042 8036 5
2185437043 8036 5
2185437046 8036 5
2185437047 8036 5
2185437049 8036 5
2185437050 8036 5
2185437051 8036 5
2185437053 8036 5
2185437054 8036 5
2185437056 8036 5
2185437057 8036 5
2185437060 8036 5
2185437061 8036 5
2185437063 8036 5
2185437065 8036 5
2185440806 8424 4
2185440807 8430 8
2185440809 8424 4
2185440813 8430 8
2185440815 8424 4
2185440816 8430 8
2185440819 8430 8
2185440835 8424 4
2185440841 8430 8
2185440845 8424 4
2185440850 8430 8
2185440866 8424 4
2185440867 8430 8
2185447165 8035 8
2185447166 8035 8
2185447167 8035 8
2185447168 8035 8
2185447169 8035 8
2185447170 8035 8
2185447171 8035 8
2185447172 8035 8
2185447173 8035 8
2185447174 8035 8
2185447175 8035 8
2185447176 8035 8
2185447177 8035 8
2185447178 8035 8
2185447179 8035 8
2185447180 8035 8
2185447181 8035 8
2185447182 8035 8
2185447183 8035 8
2185447184 8035 8
2185447185 8035 8
2185447186 8035 8
2185447187 8035 8
2185447188 8035 8
2185447189 8035 8
2185447190 8035 8
2185447191 8035 8
2185447192 8035 8
2185447193 8035 8
2185447194 8035 8
2185447195 8035 8
2185447196 8035 8
2185447197 8035 8
2185447198 8035 8
2185447199 8035 8
2185447200 8035 8
2185447202 8035 8
2185447203 8035 8
2185447204 8035 8
2185447205 8035 8
2185447206 8035 8
2185447207 8035 8
2185447208 8035 8
2185447209 8035 8
2185447210 8035 8
2185447211 8035 8
2185447212 8035 8
2185447213 8035 8
2185447214 8035 8
2185447215 8035 8
2185447216 8035 8
2185447217 8035 8
2185447218 8035 8
2185449187 7840 4
2185449331 7840 4
2185449368 7840 4
2185449386 7840 4
2185449390 7840 4
2185449408 7839 4
2185449415 7839 4
2185449426 7839 4
2185449430 7839 4
2185449447 7839 4
2185449479 7839 4
2185449546 7839 4
2185449602 7839 4
2185449619 7839 4
2185457082 6909 4
2185457083 6909 4
2185457084 6909 4
2185457085 6909 4
2185457086 6909 4
2185457087 6909 4
2185457088 6909 4
2185457089 6909 4
2185457090 6909 4
2185457091 6909 4
2185457092 6909 4
2185457093 6909 4
2185457094 6909 4
2185457095 6909 4
2185457096 6909 4
2185457097 6909 4
2185457098 6909 4
2185457099 6909 4
2185457100 6909 4
2185457101 6909 4
2185457102 6909 4
2185457103 6909 4
2185457104 6909 4
2185457105 6909 4
2185457106 6909 4
2185457107 6909 4
2185457108 6909 4
2185457109 6909 4
2185457117 6909 4
2185457118 6909 4
2185457119 6909 4
2185457120 6909 4
2185457121 6909 4
2185457122 6909 4
2185457123 6909 4
2185457124 6909 4
2185457125 6909 4
2185457126 6909 4
2185457127 6909 4
2185457128 6909 4
2185457129 6909 4
2185457130 6909 4
2185457131 6909 4
2185457132 6909 4
2185457133 6909 4
2185457134 6909 4
2185457135 6909 4
2185457136 6909 4
2185457137 6909 4
2185457138 6909 4
2185457139 6909 4
2185457140 6909 4
2185457141 6909 4
2185457142 6909 4
2185457143 6909 4
2185457144 6909 4
2185457145 6909 4
2185457146 6909 4
2185457147 6909 4
2185457148 6909 4
2185457149 6909 4
2185457150 6909 4
2185457151 6909 4
2185457152 6909 4
2185457153 6909 4
2185457154 6909 4
2185457155 6909 4
2185457156 6909 4
2185457157 6909 4
2185457158 6909 4
2185457159 6909 4
2185457160 6909 4
2185457161 6909 4
2185457162 6909 4
2185457163 6909 4
2185457164 6909 4
2185457165 6909 4
2185457166 6909 4
2185457167 6909 4
2185457168 6909 4
2185457169 6909 4
2185457170 6909 4
2185457171 6909 4
2185457172 6909 4
2185457173 6909 4
2185457174 6909 4
2185457175 6909 4
2185457176 6909 4
2185457177 6909 4
2185457178 6909 4
2185457179 6909 4
2185458113 7479 1
2185458114 7479 1
2185458115 7479 1
2185458116 7479 1
2185458117 7479 1
2185458118 7479 1
2185458119 7479 1
2185458120 7479 1
2185458121 7479 1
2185458289 7479 1
2185458290 7479 1
2185458291 7479 1
2185458292 7479 1
2185458293 7479 1
2185458294 7479 1
2185458295 7479 1
2185458296 7479 1
2185458297 7479 1
2185458298 7479 1
2185458299 7479 1
2185458300 7479 1
2185458301 7479 1
2185458302 7479 1
2185458303 7479 1
2185458304 7479 1
2185458305 7479 1
2185458306 7479 1
2185459437 6908 3
2185459438 6908 3
2185459439 6908 3
2185459441 6908 3
2185459442 6908 3
2185459443 6908 3
2185459444 6908 3
2185459445 6908 3
2185459447 6908 3
2185459448 6908 3
2185459449 6908 3
2185459450 6908 3
2185459451 6908 3
2185459452 6908 3
2185459453 6908 3
2185459454 6908 3
2185459455 6908 3
2185459456 6908 3
2185459457 6908 3
2185459458 6908 3
2185459459 6908 3
2185459460 6908 3
2185459461 6908 3
2185459462 6908 3
2185459463 6908 3
2185459464 6908 3
2185459465 6908 3
2185459466 6908 3
