seq us class
2119071635 1320 7
2119071636 1320 7
2119071639 1320 7
2119071641 1320 7
2119071642 1320 7
2119071643 1320 7
2119071644 1320 7
2119071645 1320 7
2119071646 1320 7
2119071647 1320 7
2119071648 1320 7
2119071649 1320 7
2119071650 1320 7
2119071651 1320 7
2119071652 1320 7
2119071653 1320 7
2119071654 1320 7
2119071655 1320 7
2119071656 1320 7
2119071657 1320 7
2119071658 1320 7
2119071659 1320 7
2119071660 1320 7
2119071661 1320 7
2119071662 1320 7
2119071663 1320 7
2119071664 1320 7
2119071665 1320 7
2119071666 1320 7
2119071667 1320 7
2119071670 1320 7
2119071703 1320 7
2119071704 1320 7
2119071705 1320 7
2119071706 1320 7
2119071707 1320 7
2119071708 1320 7
2119071709 1320 7
2119071710 1320 7
2119071711 1320 7
2119071712 1320 7
2119071713 1320 7
2119076604 1296 5
2119076625 1296 5
2119076626 1296 5
2119076628 1296 5
2119076654 1296 5
2119076655 1296 5
2119077052 1292 10
2119077053 1292 10
2119077054 1292 10
2119077056 1292 10
2119077057 1292 10
2119077058 1292 10
2119077073 1292 10
2119077074 1292 10
2119077079 1292 10
2119077080 1292 10
2119077081 1292 10
2119077082 1292 10
2119077089 1292 10
2119077090 1292 10
2119077091 1292 10
2119077092 1292 10
2119077093 1292 10
2119077094 1292 10
2119077095 1292 10
2119077096 1292 10
2119077097 1292 10
2119077098 1292 10
2119077117 1292 10
2119077119 1292 10
2119077120 1292 10
2119077121 1292 10
2119077122 1292 10
2119077123 1292 10
2119077124 1292 10
2119077125 1292 10
2119077126 1292 10
2119077127 1292 10
2119077128 1292 10
2119077129 1292 10
2119077130 1292 10
2119077131 1292 10
2119077132 1292 10
2119077139 1292 10
2119077141 1292 10
2119077158 1292 10
2119077159 1292 10
2119077163 1292 10
2119077164 1292 10
2119077165 1292 10
2119077166 1291 9
2119077167 1291 9
2119077169 1291 9
2119077171 1291 9
2119077172 1291 9
2119077187 1291 9
2119077188 1291 9
2119077189 1291 9
2119077192 1291 9
2119077195 1291 9
2119077196 1291 9
2119077197 1291 9
2119077200 1291 9
2119077201 1291 9
2119077202 1291 9
2119077203 1291 9
2119077230 1291 9
2119077234 1291 9
2119077235 1291 9
2119077236 1291 9
2119077237 1291 9
2119077238 1291 9
2119077257 1291 9
2119077258 1291 9
2119077259 1291 9
2119077260 1291 9
2119077261 1291 9
2119077262 1291 9
2119077263 1291 9
2119077265 1291 9
2119077266 1291 9
2119077267 1291 9
2119077268 1291 9
2119077269 1291 9
2119077270 1291 9
2119077271 1291 9
2119077272 1291 9
2119077273 1291 9
2119077274 1291 9
2119077275 1291 9
2119077278 1291 9
2119077279 1291 9
2119077280 1291 9
2119077283 1291 9
2119077284 1291 9
2119077287 1291 9
2119077288 1291 9
2119077289 1291 9
2119083823 1255 2
2119083860 1255 2
2119083888 1255 2
2119083928 1255 2
2119083986 1255 2
2119084030 1255 2
2119084050 1255 2
2119084088 1255 2
2119084116 1255 2
2119084137 1255 2
2119090168 1238 8
2119090169 1238 8
2119090251 1238 8
2119090252 1238 8
2119090276 1238 8
2119090277 1238 8
2119090282 1238 8
2119090283 1238 8
2119090292 1238 8
2119090293 1238 8
2119090308 1238 8
2119090309 1238 8
2119090326 1238 8
2119090327 1238 8
2119090328 1238 8
2119095069 1221 8
2119095070 1221 8
2119095084 1221 8
2119095100 1221 8
2119095102 1221 8
2119095103 1221 8
