seq us class
2118984702 1617 9
2118984715 1617 9
2118984716 1617 9
2118984717 1617 9
2118984718 1617 9
2118984719 1617 9
2118984735 1617 9
2118984737 1617 9
2118984745 1617 9
2118984746 1617 9
2118984747 1617 9
2118984749 1617 9
2118984755 1617 9
2118984756 1617 9
2118984757 1617 9
2118984758 1617 9
2118984759 1617 9
2118984760 1617 9
2118984761 1617 9
2118984762 1617 9
2118984763 1617 9
2118984764 1617 9
2118984766 1617 9
2118984767 1617 9
2118984768 1617 9
2118984769 1617 9
2118984771 1617 9
2118984772 1617 9
2118984774 1617 9
2118984775 1617 9
2118984792 1617 9
2118984797 1617 9
2118984798 1617 9
2118984799 1617 9
2118984801 1617 9
2118984812 1617 9
2118984813 1617 9
2118984825 1617 9
2118984826 1617 9
2118984828 1617 9
2118984830 1617 9
2118984831 1617 9
2118984843 1617 9
2118984846 1617 9
2118984854 1617 9
2118984860 1617 9
2118984863 1617 9
2118984864 1617 9
2118984880 1617 9
2118984891 1617 9
2118984893 1617 9
2118984894 1617 9
2118984906 1617 9
2118984922 1617 9
2118984923 1617 9
2118984924 1617 9
2118984926 1617 9
2118984927 1617 9
2118984929 1617 9
2118984930 1617 9
2118984931 1617 9
2118984932 1617 9
2118984933 1617 9
2118984935 1617 9
2118984936 1617 9
2118986560 1611 10
2118986563 1611 10
2118986564 1611 10
2118986567 1611 10
2118986577 1611 10
2118986590 1611 10
2118986591 1611 10
2118986592 1611 10
2118986599 1611 10
2118986600 1611 10
2118986601 1611 10
2118986604 1611 10
2118986639 1611 10
2118986641 1611 10
2118986664 1611 10
2118986670 1611 10
2118986672 1611 10
2118986673 1611 10
2118986674 1611 10
2118986677 1611 10
2118986695 1611 10
2118986697 1611 10
2118986698 1611 10
2118986699 1611 10
2118986701 1611 10
2118986706 1611 10
2118986708 1611 10
2118986709 1611 10
2118986710 1611 10
2118986711 1611 10
2118986719 1611 10
2118986721 1611 10
2118986723 1611 10
2118986730 1611 10
2118986732 1611 10
2118986734 1611 10
2118986735 1611 10
2118986736 1611 10
2118986737 1611 10
2118986738 1611 10
2118986752 1611 10
2118986753 1611 10
2118986754 1611 10
2118986755 1611 10
2118986757 1611 10
2118986759 1611 10
2118986760 1611 10
2118986761 1611 10
2118987187 1609 7
2118987188 1609 7
2118987189 1609 7
2118987191 1609 7
2118987198 1609 7
2118987202 1609 7
2118987225 1609 7
2118987226 1609 7
2118987227 1609 7
2118987228 1609 7
2118987233 1609 7
2118987234 1609 7
2118987241 1609 7
2118987242 1609 7
2118987243 1609 7
2118987245 1609 7
2118987246 1609 7
2118987247 1609 7
2118987260 1609 7
2118987279 1609 7
2118987280 1609 7
2118987331 1609 7
2118987332 1609 7
2118988375 1602 2
2118988376 1602 2
2118988378 1602 2
2118988381 1602 2
2118988382 1602 2
2118988415 1602 2
2118988416 1602 2
2118988419 1602 2
2118988420 1602 2
2118988433 1602 2
2118988434 1602 2
2118988458 1602 2
2118988459 1602 2
2118988465 1602 2
2118988466 1602 2
2118988472 1602 2
2118988474 1602 2
2118988475 1602 2
2118988476 1602 2
2118988478 1602 2
2118989274 1599 3
2118989275 1599 3
2118989283 1599 3
2118989284 1599 3
2118989296 1599 3
2118989297 1599 3
2118989299 1599 3
2118989301 1599 3
2118989302 1599 3
2118989305 1599 3
2118989306 1599 3
2118989377 1598 9
2118989396 1598 9
2118989397 1598 9
2118989398 1598 9
2118989399 1598 9
2118989400 1598 9
2118989401 1598 9
2118989402 1598 9
2118989403 1598 9
2118989409 1598 9
2118989410 1598 9
2118989438 1598 9
2118989439 1598 9
2118989544 1596 9
2118989550 1596 9
2118989578 1596 9
2118989585 1596 9
2118989607 1596 9
2118989616 1596 9
2118989626 1596 9
2118989628 1596 9
2118989652 1596 9
2118989653 1596 9
2118989656 1596 9
2118990302 1592 4
2118990303 1592 4
2118990321 1592 4
2118990322 1592 4
2118990324 1592 4
2118990325 1592 4
2118990326 1592 4
2118990327 1592 4
2118990328 1592 4
2118990329 1592 4
2118990330 1592 4
2118990331 1592 4
2118990332 1592 4
2118990333 1592 4
2118990440 1591 3
2118990443 1591 3
2118990444 1591 3
2118990446 1591 3
2118990447 1591 3
2118990448 1591 3
2118990449 1591 3
2118990450 1591 3
2118990451 1591 3
2118990452 1591 3
2118990453 1591 3
2118990470 1591 3
2118990499 1591 3
2118990510 1591 3
2118990533 1591 3
2118990534 1591 3
2118990535 1591 3
2118990536 1591 3
2118990537 1591 3
2118990538 1591 3
2118990539 1591 3
2118990540 1591 3
2118990544 1590 4
2118990545 1590 4
2118990577 1590 4
2118990578 1590 4
2118990598 1590 4
2118990600 1590 4
2118990601 1590 4
2118990602 1590 4
2118990603 1590 4
2118990604 1590 4
2118990607 1590 4
2118990608 1590 4
2118990609 1590 4
2118990617 1590 4
2118990618 1590 4
2118990639 1590 4
2118990640 1590 4
2118990654 1590 4
2118990655 1590 4
2118990656 1590 4
2118990657 1590 4
2118990658 1590 4
2118990659 1590 4
2118990666 1590 4
2118990667 1590 4
2118990669 1590 4
2118990670 1590 4
2118990914 1588 3
2118990915 1588 3
2118990916 1588 3
2118990921 1588 3
2118990922 1588 3
2118990923 1588 3
2118990925 1588 3
2118990926 1588 3
2118990927 1588 3
2118990933 1588 3
2118990934 1588 3
2118990935 1588 3
2118990970 1588 3
2118990971 1588 3
2118990972 1588 3
2118990975 1588 3
2118990976 1588 3
2118990977 1588 3
2118990980 1588 3
2118991013 1588 3
2118991024 1588 3
2118991025 1588 3
2118991030 1588 3
2118991031 1588 3
2118991032 1588 3
2118991034 1588 3
2118991035 1588 3
2118991036 1588 3
2118991040 1588 3
2118991041 1588 3
2118991042 1588 3
2118991052 1588 3
2118991053 1588 3
2118991081 1587 9
2118991082 1587 9
2118991123 1587 9
2118991124 1587 9
2118991125 1587 9
2118991171 1587 9
2118991172 1587 9
2118991184 1587 9
2118991185 1587 9
2118991186 1587 9
2118991187 1587 9
2118991221 1587 9
2118991222 1587 9
2118991223 1587 9
2118991225 1587 9
2118991226 1587 9
2118991393 1585 3
2118991405 1585 3
2118991410 1585 3
2118991411 1585 3
2118991434 1585 3
2118991435 1585 3
2118991464 1585 3
2118991508 1585 3
2118991512 1585 3
2118991532 1585 3
2118991540 1584 1
2118991541 1584 1
2118991542 1584 1
2118991545 1584 1
2118991546 1584 1
2118991569 1584 1
2118991578 1584 1
2118991579 1584 1
2118991580 1584 1
2118991608 1584 1
2118991624 1584 1
2118991625 1584 1
2118991628 1584 1
2118991630 1584 1
2118991645 1584 1
2118991651 1584 1
2118991652 1584 1
2118991654 1584 1
2118991655 1584 1
2118992920 1578 1
2118992921 1578 1
2118992924 1578 1
2118992925 1578 1
2118992926 1578 1
2118992936 1578 1
2118992939 1578 1
2118992940 1578 1
2118992957 1578 1
2118992973 1578 1
2118992975 1578 1
2118992976 1578 1
2118992986 1578 1
2118992988 1578 1
2118992991 1578 1
2118992993 1578 1
2118992994 1578 1
2118992995 1578 1
2118992997 1578 1
2118993000 1578 1
2118993001 1578 1
2118993002 1578 1
2118993007 1578 1
2118993009 1578 1
2118993010 1578 1
2118993011 1578 1
2118993012 1578 1
2118993013 1578 1
2118993015 1578 1
2118993016 1578 1
2118993019 1578 1
2118993021 1578 1
2118993023 1578 1
2118993027 1578 1
2118993029 1578 1
2118993030 1578 1
2118993032 1578 1
2118993033 1578 1
2118993034 1578 1
2118993036 1578 1
2118993037 1578 1
2118993039 1578 1
2118993041 1578 1
2118993042 1578 1
2118993043 1578 1
2118993044 1578 1
2118993045 1578 1
2118993048 1578 1
2118993050 1578 1
2118993051 1578 1
2118993052 1578 1
2118993054 1578 1
2118993055 1578 1
2118993057 1578 1
2118993063 1578 1
2118993088 1578 1
2118993100 1578 1
2118993112 1578 1
2118993136 1578 1
2118993141 1578 1
2118993142 1578 1
2118993145 1578 1
2118993146 1578 1
2118993147 1578 1
2118993148 1578 1
2118993150 1578 1
2118993172 1578 1
2118993189 1577 3
2118993190 1577 3
2118993198 1577 3
2118993213 1577 3
2118993254 1577 3
2118993255 1577 3
2118993288 1577 3
2118993289 1577 3
2118993306 1577 3
2118993307 1577 3
2118993612 1576 9
2118993613 1576 9
2118993620 1576 9
2118993621 1576 9
2118993653 1576 9
2118993654 1576 9
2118993666 1576 9
2118993667 1576 9
2118993692 1576 9
